batch,seqlen,nheads,headdim,dtype,causal,softcap,fa_v2_mean_ms,fa_v2_min_ms,fa_v2_tflops,baseline_mean_ms,baseline_min_ms,baseline_tflops,speedup_fa_over_baseline,fa_v2_error,baseline_error
1,32,24,128,fp16,False,0.0,0.531729798913002,0.5148800015449524,0.023664109150404657,0.2279508014023304,0.18140000104904175,0.05520012179203228,0.4286966836696436,,
1,64,24,128,fp16,False,0.0,0.7590834015607834,0.7409600019454956,0.06630582080508016,0.2019353999197483,0.18187999725341797,0.24924628381156766,0.26602531356177783,,
1,128,24,128,fp16,False,0.0,0.7666581958532334,0.70933997631073,0.2626028040774266,0.19891139954328538,0.18153999745845795,1.0121420514976018,0.2594525182397768,,
1,256,24,128,fp16,False,0.0,0.7377851974964141,0.7167999744415283,1.091518738425101,0.18575519993901252,0.17351999878883362,4.335309957752997,0.2517740943696764,,
1,512,24,128,fp16,False,0.0,0.7571724009513855,0.7009999752044678,4.254282733961958,0.19215680047869682,0.18546000123023987,16.763525745512798,0.25378209802318763,,
4,32,24,128,fp16,False,0.0,0.5554541981220246,0.531440019607544,0.09061349823292347,0.18741700023412705,0.17790000140666962,0.26855433571727305,0.3374121590362964,,
4,64,24,128,fp16,False,0.0,0.7717065989971161,0.7326400279998779,0.26088489104750073,0.19931879952549936,0.1875,1.0100732719607002,0.25828313478791987,,
4,128,24,128,fp16,False,0.0,0.8085375964641571,0.7880399823188782,0.9960036138352901,0.19724079951643944,0.18930000066757202,4.082858972252747,0.24394759177433406,,
4,256,24,128,fp16,False,0.0,0.7944974005222321,0.7385600209236145,4.0544191458432115,0.19096740022301673,0.17414000630378723,16.867933837074645,0.24036252365016136,,
4,512,24,128,fp16,False,0.0,0.7905801999568939,0.7725600004196167,16.298032620476132,0.21694719970226287,0.1780800074338913,59.39187924842159,0.2744151696615876,,
16,32,24,128,fp16,False,0.0,0.7382126015424728,0.7230600118637085,0.2727216950500902,0.19178340017795562,0.18371999263763428,1.049760259820137,0.2597942649275155,,
16,64,24,128,fp16,False,0.0,0.8042530035972595,0.7648400068283081,1.001309742578553,0.18512159928679467,0.17812000215053558,4.350148070795352,0.23017831261901858,,
16,128,24,128,fp16,False,0.0,0.8009200012683868,0.7718799710273743,4.0219066409862,0.18503559976816178,0.1652200073003769,17.408679605632628,0.23102881620527377,,
16,256,24,128,fp16,False,0.0,0.8343059992790223,0.7944200038909912,15.443856209993307,0.22895240008831025,0.20730000734329224,56.27764497349714,0.27442257431465533,,
16,512,24,128,fp16,False,0.0,1.3714716064929962,1.3273799419403076,37.57978459633768,0.537264600098133,0.4936000108718872,95.9296546665947,0.39174314477568933,,
64,32,24,128,fp16,False,0.0,1.95805499792099,1.9099600315093994,0.41127872754087735,0.19637959972023963,0.18610000610351562,4.1007638733719345,0.10029319908212496,,
64,64,24,128,fp16,False,0.0,0.9370563966035843,0.883080005645752,3.4376004301080703,0.27733279824256896,0.2662999927997589,11.615018102484068,0.29596169371211584,,
64,128,24,128,fp16,False,0.0,0.9774693983793259,0.9579399824142456,13.181897979991557,0.32196199893951416,0.30125999450683594,40.01994623725964,0.3293832006130698,,
64,256,24,128,fp16,False,0.0,1.7446813988685608,1.7020200490951538,29.540985297042674,0.6544091975688935,0.6376799941062927,78.75746206420659,0.37508808083429035,,
64,512,24,128,fp16,False,0.0,3.9226386070251467,3.8885600566864014,52.556060055796614,2.1222726035118105,2.073359966278076,97.1404097036645,0.5410318961606563,,
256,32,24,128,fp16,False,0.0,6.710932607650757,6.5777997970581055,0.4799966949940254,0.3891948002576828,0.37779998779296875,8.276640566285192,0.057994145227145286,,
256,64,24,128,fp16,False,0.0,2.3076076126098632,2.276279926300049,5.583662411924272,0.8331221973896027,0.7685800194740295,15.465800729319042,0.36103286920923106,,
256,128,24,128,fp16,False,0.0,2.9994630002975464,2.910640001296997,17.18294492943813,0.9974699974060058,0.9771999716758728,51.67033363011674,0.33254952546741096,,
256,256,24,128,fp16,False,0.0,6.509765405654907,6.386660099029541,31.669102857211133,2.3761159920692445,2.2488200664520264,86.76278047708715,0.3650079294724137,,
256,512,24,128,fp16,False,0.0,16.207937793731688,16.085180282592773,50.87838633924925,8.360198831558227,8.116660118103027,98.63805125293885,0.515808916467552,,
320,32,24,128,fp16,False,0.0,8.259499387741089,8.122599601745605,0.4875031343880547,0.45456119924783706,0.42142000794410706,8.858063219348038,0.055034957678246905,,
320,64,24,128,fp16,False,0.0,2.9821906018257143,2.941580057144165,5.400770611422267,0.970586199760437,0.9268800020217896,16.594226627140756,0.3254608203668265,,
320,128,24,128,fp16,False,0.0,3.7889530062675476,3.7334399223327637,17.003248478783277,1.2398954010009766,1.215980052947998,51.95963255286665,0.32723958279503257,,
320,256,24,128,fp16,False,0.0,8.482970190048217,8.347760200500488,30.37827930390679,3.026499795913696,2.9015400409698486,85.14721795386782,0.3567735979391074,,
320,512,24,128,fp16,False,0.0,21.154085178375244,20.948280334472656,48.727805638871445,10.46540295600891,10.095820426940918,98.49521851885798,0.494722549699628,,
1024,32,24,128,fp16,False,0.0,25.803057899475096,25.321840286254883,0.49935561661713407,1.191306402683258,1.166100025177002,10.81577489970547,0.046169194648340205,,
1024,64,24,128,fp16,False,0.0,16.742633934020997,16.547040939331055,3.0783452445479096,2.863840012550354,2.8444199562072754,17.996678350094736,0.17105074529110004,,
1024,128,24,128,fp16,False,0.0,19.195516567230225,19.03261947631836,10.739926142959078,3.6166035962104797,3.592600107192993,57.003325004713055,0.18840876636706888,,
1024,256,24,128,fp16,False,0.0,42.79579467773438,42.108760833740234,19.2690362929757,10.083087196350098,9.26852035522461,81.78385297813382,0.23560929928463475,,
1024,512,24,128,fp16,False,0.0,99.31735496520996,98.75373840332031,33.212069375825095,34.134237136840824,32.56235885620117,96.6342054197519,0.3436885441501917,,
2048,32,24,128,fp16,False,0.0,52.70152202606201,51.608238220214844,0.48897646188010074,2.279089796543121,2.213599920272827,11.307059430079118,0.043245236739387974,,
2048,64,24,128,fp16,False,0.0,58.87864402770996,57.03950119018555,1.7507063351439955,5.643653192520142,5.58411979675293,18.264626047648857,0.09585229561102118,,
2048,128,24,128,fp16,False,0.0,62.17330177307129,61.834800720214844,6.631734983625787,7.221716589927674,7.073740005493164,57.09402401515862,0.11615462560258571,,
2048,256,24,128,fp16,False,0.0,133.22882781982423,132.3013458251953,12.379208529061243,20.623192615509033,18.816680908203125,79.97148998277403,0.15479527181158864,,
2048,512,24,128,fp16,False,0.0,296.0019223022461,295.09197998046875,22.287253121011037,67.3832487487793,66.38834381103516,97.9037058787628,0.22764463225334933,,
