batch,seqlen,nheads,headdim,dtype,causal,softcap,fa_v2_mean_ms,fa_v2_min_ms,fa_v2_tflops,baseline_mean_ms,baseline_min_ms,baseline_tflops,speedup_fa_over_baseline,fa_v2_error,baseline_error
1,32,8,64,fp16,False,0.0,0.5258624017238617,0.5092999935150146,0.0039880242305310246,0.217914400100708,0.19276000559329987,0.00962374216220136,0.4143943346897392,,
1,64,8,64,fp16,False,0.0,0.5458407962322235,0.5208799839019775,0.015368232015459568,0.21116919964551925,0.18624000251293182,0.03972458111354118,0.38686958011045963,,
4,32,8,64,fp16,False,0.0,0.5746920001506806,0.5442799925804138,0.014596702229717066,0.20676359921693802,0.190420001745224,0.04057100975108586,0.35978158589770853,,
4,64,8,64,fp16,False,0.0,0.572694001197815,0.5578200221061707,0.0585905071989918,0.2141147992014885,0.19280000030994415,0.15671234368262543,0.3738729561574905,,
16,32,8,64,fp16,False,0.0,0.6396208000183106,0.601360023021698,0.052459882478867834,0.21055720001459122,0.1910800039768219,0.15936017385145101,0.32919067048564327,,
16,64,8,64,fp16,False,0.0,0.6089547955989838,0.5780199766159058,0.22040671815053192,0.2092911997437477,0.19120000302791595,0.6412965674826926,0.34368922168990135,,
64,32,8,64,fp16,False,0.0,0.775476803779602,0.7228400111198425,0.17307768246043626,0.21960839927196502,0.20005999505519867,0.6111684637060878,0.2831914484116276,,
64,64,8,64,fp16,False,0.0,0.7291343998908997,0.6780999898910522,0.7363126908843307,0.20692720085382463,0.19072000682353973,2.5944917332509165,0.28379843398526683,,
256,32,8,64,fp16,False,0.0,1.2675623989105225,1.1561599969863892,0.42354594334878015,0.21227520048618317,0.20090000331401825,2.5291268634790174,0.16746725894412376,,
256,64,8,64,fp16,False,0.0,1.3373324012756347,1.1448400020599365,1.6057964691138795,0.1825848004221916,0.17326000332832336,11.761568559016766,0.13652910843110533,,
1024,32,8,64,fp16,False,0.0,3.185372395515442,3.0927000045776367,0.6741703579221557,0.44691400170326234,0.42875999212265015,4.805138437855132,0.14030196354198796,,
1024,64,8,64,fp16,False,0.0,3.2161356163024903,3.1370201110839844,2.6708869328948355,0.45175640285015106,0.41877999901771545,19.014527603384753,0.14046559497062625,,
