 batch  seqlen     fa_ms   base_ms  speedup
     1      32     0.605     0.200     0.33x
     1      64     0.530     0.196     0.37x
     1     128     0.537     0.200     0.37x
     1     256     0.603     0.206     0.34x
     1     512     1.527     0.202     0.13x
     4      32     0.582     0.227     0.39x
     4      64     0.591     0.232     0.39x
     4     128     0.592     0.231     0.39x
     4     256     0.610     0.193     0.32x
     4     512     1.559     0.239     0.15x
    16      32     0.617     0.193     0.31x
    16      64     0.589     0.224     0.38x
    16     128     0.576     0.188     0.33x
    16     256     0.801     0.277     0.35x
    16     512     2.242     0.579     0.26x
    64      32     0.703     0.188     0.27x
    64      64     0.711     0.415     0.58x
    64     128     0.801     0.485     0.61x
    64     256     2.279     1.028     0.45x
    64     512     7.543     2.899     0.38x
   256      32     1.291     0.394     0.30x
   256      64     1.272     1.495     1.18x
   256     128     2.681     1.651     0.62x
   256     256     9.327     3.569     0.38x
   256     512    32.864    10.480     0.32x
   320      32     1.420     0.736     0.52x
   320      64     1.615     1.879     1.16x
   320     128     3.626     2.191     0.60x
   320     256    12.125     4.448     0.37x
   320     512    43.804    13.292     0.30x
  1024      32     3.582     1.909     0.53x
  1024      64     4.007     5.558     1.39x
  1024     128     9.790     6.188     0.63x
  1024     256    36.082    13.815     0.38x
  1024     512   129.749    42.258     0.33x
  2048      32     6.975     3.791     0.54x
  2048      64    10.785    10.972     1.02x
  2048     128    19.917    12.036     0.60x
  2048     256    74.124    27.383     0.37x
  2048     512   270.513    84.844     0.31x
