batch,seqlen,nheads,headdim,dtype,causal,softcap,fa_v2_median_ms,fa_v2_min_ms,fa_v2_tflops,baseline_median_ms,baseline_min_ms,baseline_tflops,speedup_fa_over_baseline,fa_v2_error,baseline_error
128,64,8,128,fp16,True,0.0,21.65625966154039,16.919350251555443,0.04958112992646052,0.5313439760357141,0.4154639318585396,2.0208036082596497,0.02453535302678949,,
128,128,8,128,fp16,True,0.0,18.427031813189387,12.266811914741993,0.23307971351771486,0.797496410086751,0.7604071870446205,5.3855631720433665,0.04327861470971861,,
512,64,8,128,fp16,True,0.0,48.770483350381255,43.19877736270428,0.08806489091247494,0.6204352248460054,0.6055450066924095,6.922507175613744,0.01272153118493043,,
512,128,8,128,fp16,True,0.0,55.4881535936147,43.42614905908704,0.30961327907614816,0.9499380830675364,0.9213769808411598,18.085251544524706,0.01711965566604924,,
1024,64,8,128,fp16,True,0.0,118.84404206648469,114.46782574057579,0.07227905112142306,0.9614727459847927,0.9198379702866077,8.934142572290721,0.008090205695350869,,
1024,128,8,128,fp16,True,0.0,135.26134751737118,130.17791509628296,0.2540248119558863,1.5760930255055428,1.5263520181179047,21.800577638479734,0.0116522055593386,,
