batch,seqlen,nheads,headdim,dtype,causal,softcap,fa_v2_median_ms,fa_v2_min_ms,fa_v2_tflops,baseline_median_ms,baseline_min_ms,baseline_tflops,speedup_fa_over_baseline,fa_v2_error,baseline_error
1,128,8,128,fp16,False,0.0,0.6825760938227177,0.6761150434613228,0.0983170442201714,0.6252250168472528,0.29023271054029465,0.10733553871276906,0.9159784857769128,,
1,256,8,128,fp16,False,0.0,0.5804800894111395,0.5751652643084526,0.4624369739749573,0.24898257106542587,0.24266168475151062,1.0781295046128447,0.4289252561926853,,
1,512,8,128,fp16,False,0.0,0.8228670340031385,0.7996172644197941,1.304878892494197,0.28254673816263676,0.2663726918399334,3.8002272862266895,0.3433686446133156,,
1,1024,8,128,fp16,False,0.0,1.3592864852398634,1.3313107192516327,3.159721914870726,0.2792971208691597,0.26529282331466675,15.37777146658104,0.20547333023757253,,
1,2048,8,128,fp16,False,0.0,3.235782263800502,3.211317118257284,5.309340302713027,0.38009299896657467,0.37423381581902504,45.199120296111516,0.11746556720418715,,
4,128,8,128,fp16,False,0.0,0.6401906721293926,0.6195451132953167,0.41930547833059484,0.2787667326629162,0.263432040810585,0.962939348737108,0.435443290255521,,
4,256,8,128,fp16,False,0.0,0.9231774602085352,0.9147180244326591,1.1630936307277844,0.2821225207298994,0.26597175747156143,3.8059415505789667,0.30559944635798536,,
4,512,8,128,fp16,False,0.0,1.7766698729246855,1.7608548514544964,2.417425635146157,0.27714273892343044,0.26632193475961685,15.497311286898347,0.15599000306523392,,
4,1024,8,128,fp16,False,0.0,4.018639214336872,3.983183763921261,4.275046419372311,0.3784629516303539,0.3662528470158577,45.393793791418815,0.09417689208828497,,
4,2048,8,128,fp16,False,0.0,11.53605175204575,11.4786671474576,5.956932078066797,0.7276560645550489,0.7162261754274368,94.43950251142476,0.06307669904705565,,
8,128,8,128,fp16,False,0.0,0.7712859660387039,0.7613562047481537,0.6960724499595773,0.2931426279246807,0.2782018855214119,1.8314324184128628,0.3800699621571625,,
8,256,8,128,fp16,False,0.0,1.4188019558787346,1.3956422917544842,1.5135894330438504,0.29501202516257763,0.2768123522400856,7.27930885805942,0.20793037670987846,,
8,512,8,128,fp16,False,0.0,3.131742123514414,3.09510575607419,2.7428614021260636,0.31025800853967667,0.3041531890630722,27.686423413955147,0.09906882377387696,,
8,1024,8,128,fp16,False,0.0,7.4916735757142305,7.483643013983965,4.586390213180673,0.5166043993085623,0.5074143409729004,66.51073512728121,0.06895714209749335,,
8,2048,8,128,fp16,False,0.0,22.530020214617252,22.442900110036135,6.100258773084943,1.2528705410659313,1.2402702122926712,109.69924582556482,0.05560893994462914,,
16,128,8,128,fp16,False,0.0,1.0601291432976723,1.0328986681997776,1.0128405871948616,0.2585225738584995,0.23961206898093224,4.15337743228452,0.24385951041241144,,
16,256,8,128,fp16,False,0.0,2.185303485020995,2.154408022761345,1.9653871077585072,0.2663922496140003,0.2514319494366646,16.122718668517436,0.12190171820068323,,
16,512,8,128,fp16,False,0.0,5.560272140428424,5.4920269176363945,3.0897532980600255,0.3821037244051695,0.367932952940464,44.96127121174842,0.06872032784635035,,
16,1024,8,128,fp16,False,0.0,14.508937951177359,14.419491868466139,4.736354719224891,0.7381518371403217,0.7222360000014305,93.0966682982549,0.05087566296197599,,
16,2048,8,128,fp16,False,0.0,44.668367598205805,44.4478252902627,6.153748653108179,2.218234119936824,2.2062091156840324,123.91744607725565,0.049660066826035604,,
