batch,seqlen,nheads,headdim,dtype,causal,softcap,fa_v2_median_ms,fa_v2_min_ms,fa_v2_tflops,baseline_median_ms,baseline_min_ms,baseline_tflops,speedup_fa_over_baseline,fa_v2_error,baseline_error
1,64,8,128,fp16,False,0.0,0.7002560887485743,0.5742949433624744,0.023958686357133312,0.46231411397457123,0.39476295933127403,0.03628964700161155,0.6602072033400974,,
1,128,8,128,fp16,False,0.0,0.5483799614012241,0.5428949370980263,0.12237657960462849,0.25536702014505863,0.24643167853355408,0.2627937779979556,0.4656753311928888,,
8,64,8,128,fp16,False,0.0,0.6850159261375666,0.6608860567212105,0.19593373362394798,0.252292025834322,0.23896200582385063,0.5319935402482345,0.3683009638284761,,
8,128,8,128,fp16,False,0.0,0.8145719766616821,0.8047069422900677,0.6590834541107468,0.26359246112406254,0.24511199444532394,2.0367460803338986,0.3235962796121833,,
32,64,8,128,fp16,False,0.0,1.255915965884924,1.2345402501523495,0.4274735942398171,0.2657568547874689,0.2494119107723236,2.020158285020894,0.2116040101458663,,
32,128,8,128,fp16,False,0.0,1.7188400961458683,1.6972036100924015,1.249379539618184,0.26705185882747173,0.2485332079231739,8.041448044693736,0.15536748265663483,,
128,64,8,128,fp16,False,0.0,4.43589361384511,4.378726705908775,0.48411522794355827,0.28264778666198254,0.2720416523516178,7.597737358432486,0.06371834206749122,,
128,128,8,128,fp16,False,0.0,6.335579790174961,6.2944842502474785,1.3558245458957092,0.36369357258081436,0.35165296867489815,23.61860434058476,0.05740493918880481,,
512,64,8,128,fp16,False,0.0,32.20747294835746,32.0145059376955,0.26670625807164033,0.514644430950284,0.5100639536976814,16.691008539893847,0.01597903790140512,,
512,128,8,128,fp16,False,0.0,39.4772810395807,39.22718809917569,0.870367397733148,0.8231219835579395,0.8145272731781006,41.743191233309375,0.020850523690642758,,
1024,64,8,128,fp16,False,0.0,104.34493026696146,103.6378238350153,0.16464498217638496,0.8159719873219728,0.8002170361578465,21.054484039806905,0.007819948561318197,,
1024,128,8,128,fp16,False,0.0,118.89669485390186,118.5849322937429,0.5779763417346568,1.4309119433164597,1.4148619957268238,48.02495154015361,0.012034917750024412,,
